nuu னூ
nu னு
noo னோ
no னொ
nee னீ
ne னி
nau னௌ
nai னை
naee னே
nae னெ
naa னா
na ன
n ன்
Ruu றூ
Ru று
Roo றோ
Ro றொ
Ree றீ
Re றி
Rau றௌ
Rai றை
Raee றே
Rae றெ
Raa றா
Ra ற
R ற்
Luu ளூ
Lu ளு
Loo ளோ
Lo ளொ
Lee ளீ
Le ளி
Lau ளௌ
Lai ளை
Laee ளே
Lae ளெ
Laa ளா
La ள
L ள்
zhuu ழூ
zhu ழு
zhoo ழோ
zho ழொ
zhee ழீ
zhe ழி
zhau ழௌ
zhai ழை
zhaee ழே
zhae ழெ
zhaa ழா
zha ழ
zh ழ்
wuu,vuu வூ
wu,vu வு
woo,voo வோ
wo,vo வொ
wee,vee வீ
we,ve வி
wau,vau வௌ
wai,vai வை
waee,vaee வே
wae,vae வெ
waa,vaa வா
wa,va வ
w,v வ்
luu லூ
lu லு
loo லோ
lo லொ
lee லீ
le லி
lau லௌ
lai லை
laee லே
lae லெ
laa லா
la ல
l ல்
ruu ரூ
ru ரு
roo ரோ
ro ரொ
ree ரீ
re ரி
rau ரௌ
rai ரை
raee ரே
rae ரெ
raa ரா
ra ர
r ர்
yuu யூ
yu யு
yoo யோ
yo யொ
yee யீ
ye யி
yau யௌ
yai யை
yaee யே
yae யெ
yaa யா
ya ய
y ய்
muu மூ
mu மு
moo மோ
mo மொ
mee மீ
me மி
mau மௌ
mai மை
maee மே
mae மெ
maa மா
ma ம
m ம்
buu,puu பூ
bu,pu பு
boo,poo போ
bo,po பொ
bee,pee பீ
be,pe பி
bau,pau பௌ
bai,pai பை
baee,paee பே
bae,pae பெ
baa,paa பா
ba,pa ப
b,p ப்
nthuu நூ
nthu நு
nthoo நோ
ntho நொ
nthee நீ
nthe நி
nthau நௌ
nthai நை
nthaee நே
nthae நெ
nthaa நா
ntha ந
nth ந்
thuu தூ
thu து
thoo தோ
tho தொ
thee தீ
the தி
thau தௌ
thai தை
thaee தே
thae தெ
thaa தா
tha த
th த்
Nuu ணூ
Nu ணு
Noo ணோ
No ணொ
Nee ணீ
Ne ணி
Nau ணௌ
Nai ணை
Naee ணே
Nae ணெ
Naa ணா
Na ண
N ண்
duu,tuu டூ
du,tu டு
doo,too டோ
do,to டொ
dee,tee டீ
de,te டி
dau,tau டௌ
dai,tai டை
daee,taee டே
dae,tae டெ
daa,taa டா
da,ta ட
d,t ட்
njuu ஞூ
nju ஞு
njoo ஞோ
njo ஞொ
njee ஞீ
nje ஞி
njau ஞௌ
njai ஞை
njaee ஞே
njae ஞெ
njaa ஞா
nja ஞ
nj ஞ்
nguu ஙூ
ngu ஙு
ngoo ஙோ
ngo ஙொ
ngee ஙீ
nge ஙி
ngau ஙௌ
ngai ஙை
ngaee ஙே
ngae ஙெ
ngaa ஙா
nga ங
ng ங்
cuu சூ
cu சு
coo சோ
co சொ
cee சீ
ce சி
cau சௌ
cai சை
caee சே
cae செ
caa சா
ca ச
c ச்
nguu ஙூ
ngu ஙு
ngoo ஙோ
ngo ஙொ
ngee ஙீ
nge ஙி
ngau ஙௌ
ngai ஙை
ngaee ஙே
ngae ஙெ
ngaa ஙா
nga ங
ng ங்
kuu கூ
ku கு
koo கோ
ko கொ
kee கீ
ke கி
kau கௌ
kai கை
kaee கே
kae கெ
kaa கா
ka க
k க்
uu ஊ
oo ஓ
ee ஈ
au ஔ
ak ஃ
ai ஐ
aee ஏ
ae எ
aa ஆ
a அ
u உ
o ஒ
i,e இ
