aachi ஆச்சி 
aadam பாதாம் 
aadu பாடு 
aagaadha ஆகாதா 
aai ஆய் 
aal ஆள் 
aalunar ஆளுநர் 
aamaam ஆமாம் 
aanaal ஆனால் 
aanal அனால் 
aandan ஆண்டான் 
aanmeekam ஆன்மிகம் 
aara ஆற 
aaram ஆறாம் 
aasai ஆசை 
aasirvatham ஆசீர்வாதம் 
aavanankalai ஆவணங்கள் 
account அக்கௌன்ட் 
accountant அக்கௌன்டன்ட் 
ackground பக்க்க்ரௌந்து 
actually அச்டுஅல்லி 
adaiyai ஆடையை 
adam பாதாம் 
add அத்து 
ade படே 
adha அதா 
adhanaaladhaan அதனாலதான் 
adharam ஆதாரம் 
adharkku அதற்க்கு 
adhu அது 
adikirathu அடிக்கிறது 
adiyaal அடியாள் 
aduthha அடுத்த 
advanced அட்வன்செது 
advise அட்வைஸ் 
adyar அடையாறு 
affiliate அபிபிலியாடே 
afirica ஆபிரிக்கா 
africa ஆப்ரிக்கா 
africavil ஆப்பிரிக்காவில் 
after அபிடேர் 
afternoon அபிடேர்நூன் 
ag பக 
age ஏஜ் 
ahh அத் 
air ஏற் 
airport ஏர்போர்ட் 
akil அகில் 
akra ஆக்ரா 
al அழ 
ala பாலா 
alahu அழகு 
alaikum அழைக்கும் 
alexander அலெக்சாண்டர் 
alikiradhu அளிக்கிறது 
alikkappatta அளிக்கப்பட 
alippathu அழிப்பது 
aliththal அளித்தால் 
all ஆல் 
alla அல்ல 
allava அல்லவே 
alum ஆல்பம் 
alumahendra பாலுமகேந்திரா 
aluthu அலுத்து 
amavasai அம்மாவாசை 
amerikkaa அமேரிக்கா 
ammavukku அம்மாவுக்கு 
amulance ஆம்புலன்ஸ் 
an பங 
ana அனா 
anaathai அநாதை 
anai ஆணை 
anaiththa அணைத்த 
anaithu அணைத்து 
anaivarukum அனைவர்க்கும் 
anal அனல் 
anandha அனந்த 
anandhan அனந்தன் 
anantha அனந்த 
anda ஆண்ட 
andhan பந்தன் 
ane அன்பே 
anga அங்க 
anglore பெங்களூர் 
angu அங்கு 
ank பேங்க் 
anku பாங்கு 
anmai அண்மைய 
annan அண்ணன் 
ant அன்ட் 
anthony அந்தோணி 
anula அன்புள்ள 
anuppu அனுப்பு 
any எனி 
apadi அப்படி 
appa அப்பா 
appadi அப்படி 
appadithaan அப்படிதான் 
apparam அப்பறம் 
appavum அப்பாவும் 
apple ஆப்பிள் 
application அப்ப்ளிகாடின் 
appu அப்பு 
aprica ஆப்பிரிக்கா 
apudi அப்டி 
apuram அப்புறம் 
aradha பாரத 
are ஆர் 
area ஏரியா 
arivaal அரிவாள் 
arivu அறிவு 
ariyap ஆரியப் 
art ஆர்ட் 
arts ஆர்ட்ஸ் 
asd அசந்து 
astria ஆஸ்திரியா 
at அட் 
at பேட் 
atha அத 
athai அதை 
athanalathan அதனாலதான் 
atharkku அதற்க்கு 
atharku அதற்கு 
athil அதில் 
athiram ஆத்திரம் 
athu அது 
athuvum அதுவும் 
attached அட்டசெது 
